"company","companyNumber","directors","addressLine1","addressLine2","locality","region","postcode","siteAddress","planningReference","localAuthority","units","gdv","loanAmount"
"A AND G HOLDINGS LIMITED","11829544","Peter Atkinson; Ivor Gray; James Macdonald","C/O Macfarlane Group Uk Limited Siskin Parkway East","Middlemarch Business Park","Coventry","","CV3 4PE","Land At Former Lucas Works Moravian Road Kingswood South Gloucestershire BS15 8NF","P25/02361/F","South Gloucestershire Council","80","28200000","18330000"
"CROFTS DEVELOPMENTS LTD","10042591","John Crofts; Louise Crofts","Holme Farm Bassingfield Lane","Gamston","Nottingham","Nottinghamshire","NG2 6NJ","Land Off Colston Lane Harby","18/01183/FUL","Melton Borough Council","65","16604000","10793000"
"SAVANNAH PROPERTY INVESTMENTS LTD","13238176","Liam Mcnamara; Savannah Tappenden","The Old Forge","37 East Street","Colchester","","CO1 2TP","Savannah Heights 171 Kenneth Road Thundersley Benfleet SS7 3FP","25/0730/FUL","Castle Point Borough Council","30","11568000","7519000"
"URBAN STATION ROAD SIDCUP RESIDENTIAL LIMITED","17178714","Andrew Urban","27 Mortimer Street","","London","","W1T 3BL","Islamic Centre 11 - 13 Edgeley Road London SW4 6EH","24/02420/FUL","London Borough of Lambeth","9","10395000","6757000"
"WESTCOMBE GROUP LIMITED","13643624","Kamal Pankhania; Sunil Pankhania","7 Churchill Court Station Road","North Harrow","Harrow","","HA2 7SA","Land Behind 54 Thurlow Park Road London SE21","24/01112/FUL","London Borough of Lambeth","8","9240000","6006000"
"ASTRUM HOMES MK LTD","13470594","Thomas Graham; Kirsten Johnston","Green Valley Farm Cranfield Road","Astwood","Newport Pagnell","","MK16 9JU","Land East Of Deep Thatches 95 Keeley Lane Wootton Bedfordshire","25/02323/M73","Bedford Borough Council","20","8398000","5459000"
"ROCCO HOMES (NO.20) LIMITED","10140242","Conor Clarke; Georgina Clarke; Rupert Clarke","2nd Floor, 45-47 High Street","","Cobham","Surrey","KT11 3DP","Havilland House And The Church Of St Anselm, 13 Sancroft Street London SE11 5UG","21/04939/FUL","London Borough of Lambeth","9","8174000","5313000"
"V G CONSTRUCTION LIMITED","07580998","Vaidas Gruzdys","4 Capricorn Centre","Cranes Farm Road","Basildon","Essex","SS14 3JJ","Crown House 2 - 8 Gloucester Road Redhill Surrey RH1 1FH","26/00853/PAP3MA","Reigate and Banstead Borough Council","16","7600000","4940000"
"MISBOURNE RIVER ESTATES LTD","16307637","Richard Potyka","Clayfield House Whitepit Lane","Wooburn Green","High Wycombe","Buckinghamshire","HP10 0HR","Dibden Hill Farm Dibden Hill Chalfont St Giles Buckinghamshire HP8 4RD","PL/25/4022/PIP","Buckinghamshire Council","9","6993000","4545000"
"DURATA DEVELOPMENT LIMITED","11256769","Charles Gray; Andrew Palmer; Andrei Szatkowski","Kinglsey","The Brampton","Newcastle-Under-Lyme","","ST5 0QW","Former Site Of The Zanzibar Marsh Parade Newcastle Under Lyme Staffordshire","25/00349/FUL","Newcastle-under-Lyme Borough Council","63","6119000","3977000"
"ABL PLANNING & DEVELOPMENT LIMITED","12699179","Rachael Burdge","105 Witton Street","","Northwich","","CW9 5DR","Fonteyn House 47 - 49 London Road Reigate Surrey RH2 9PY","25/02160/PAP3MA","Reigate and Banstead Borough Council","23","5980000","3887000"
"GLEN ESTATE LIMITED","00520999","Brian Lucas; Katherine Lucas; Elizabeth Nelson","135 Westhall Road","Warlingham","Surrey","","CR6 9HJ","Land between 75 & 77 Church Road, Warsash,","P/22/0450/FP","Fareham Borough Council","14","5965000","3877000"
"RIVERSIDE PROPERTIES NW LTD","15998825","Kushlani Irwin; Richard Irwin","226 Sandy Lane","Droylsden","Manchester","","M43 7JX","Site Of The Former Hermitage Mill Hermitage Lane Mansfield","2025/0124/FUL","Mansfield District Council","31","5615000","3650000"
